0	2	5
0	3	3
0	4	6
0	5	5
0	6	7
0	7	1
0	8	3
0	9	10
0	11	3
0	12	5
0	13	2
0	14	4
0	17	10
0	19	4
0	20	4
0	21	5
0	22	1
0	24	6
0	25	5
0	29	2
1	3	1
1	4	10
1	6	3
1	9	8
1	11	5
1	14	3
1	19	9
1	21	1
1	23	6
1	25	1
1	26	4
1	28	8
1	29	4
2	0	5
2	3	8
2	4	2
2	5	2
2	6	6
2	8	4
2	9	1
2	11	8
2	12	6
2	13	2
2	14	2
2	15	1
2	16	10
2	17	3
2	18	2
2	19	6
2	20	6
2	21	2
2	22	9
2	23	4
2	24	8
2	25	1
2	26	1
2	27	2
2	28	1
3	0	3
3	1	1
3	2	8
3	4	2
3	6	7
3	9	2
3	10	5
3	12	2
3	14	7
3	16	3
3	17	5
3	20	2
3	21	3
3	23	10
3	24	10
3	29	4
4	0	6
4	1	10
4	2	2
4	3	2
4	6	2
4	8	5
4	10	8
4	11	2
4	13	4
4	14	6
4	15	8
4	17	1
4	18	6
4	19	2
4	20	8
4	21	7
4	22	2
4	23	2
4	24	9
4	25	3
4	26	2
4	29	4
5	0	5
5	2	2
5	6	10
5	7	5
5	8	1
5	11	4
5	12	2
5	14	9
5	20	5
5	22	1
5	23	9
5	24	8
5	26	3
6	0	7
6	1	3
6	2	6
6	3	7
6	4	2
6	5	10
6	7	4
6	8	8
6	9	1
6	10	4
6	12	3
6	16	3
6	17	4
6	19	2
6	24	2
6	26	9
6	27	8
6	29	1
7	0	1
7	5	5
7	6	4
7	8	3
7	11	7
7	12	1
7	14	9
7	16	2
7	17	6
7	19	3
7	20	9
7	22	8
7	23	7
7	24	9
7	26	3
7	27	4
7	28	3
8	0	3
8	2	4
8	4	5
8	5	1
8	6	8
8	7	3
8	9	3
8	10	8
8	11	4
8	12	3
8	14	5
8	15	1
8	16	3
8	18	3
8	20	4
8	21	4
8	23	1
8	25	5
8	26	3
8	27	4
8	28	6
8	29	9
9	0	10
9	1	8
9	2	1
9	3	2
9	6	1
9	8	3
9	10	1
9	12	4
9	14	2
9	16	1
9	17	10
9	26	5
10	3	5
10	4	8
10	6	4
10	8	8
10	9	1
10	11	9
10	12	6
10	14	2
10	16	7
10	17	6
10	21	8
10	23	5
10	25	5
10	29	7
11	0	3
11	1	5
11	2	8
11	4	2
11	5	4
11	7	7
11	8	4
11	10	9
11	12	2
11	13	2
11	14	7
11	15	2
11	16	8
11	17	8
11	20	2
11	21	3
11	22	1
11	23	9
11	24	4
11	25	6
11	26	2
11	27	3
11	28	1
11	29	1
12	0	5
12	2	6
12	3	2
12	5	2
12	6	3
12	7	1
12	8	3
12	9	4
12	10	6
12	11	2
12	15	4
12	16	5
12	17	8
12	19	3
12	21	4
12	22	8
12	24	7
12	26	5
12	28	1
12	29	9
13	0	2
13	2	2
13	4	4
13	11	2
13	16	9
13	17	6
13	19	7
13	21	1
13	22	1
13	23	6
13	24	9
13	25	3
13	26	9
13	27	1
13	28	8
13	29	5
14	0	4
14	1	3
14	2	2
14	3	7
14	4	6
14	5	9
14	7	9
14	8	5
14	9	2
14	10	2
14	11	7
14	15	5
14	16	3
14	19	1
14	20	3
14	23	1
14	24	2
14	26	3
14	28	8
14	29	3
15	2	1
15	4	8
15	8	1
15	11	2
15	12	4
15	14	5
15	16	1
15	21	6
15	22	10
15	23	5
15	26	6
15	27	7
16	2	10
16	3	3
16	6	3
16	7	2
16	8	3
16	9	1
16	10	7
16	11	8
16	12	5
16	13	9
16	14	3
16	15	1
16	17	10
16	23	1
16	28	5
16	29	1
17	0	10
17	2	3
17	3	5
17	4	1
17	6	4
17	7	6
17	9	10
17	10	6
17	11	8
17	12	8
17	13	6
17	16	10
17	19	3
17	20	8
17	23	1
17	24	2
17	25	1
17	29	1
18	2	2
18	4	6
18	8	3
18	22	1
18	23	2
18	24	6
18	26	9
18	29	4
19	0	4
19	1	9
19	2	6
19	4	2
19	6	2
19	7	3
19	12	3
19	13	7
19	14	1
19	17	3
19	22	2
19	23	1
19	28	4
19	29	5
20	0	4
20	2	6
20	3	2
20	4	8
20	5	5
20	7	9
20	8	4
20	11	2
20	14	3
